PLAYER_ID,RANK,PLAYER,TEAM_ID,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,EFF,AST_TOV,STL_TOV,Season
893,1,Michael Jordan,1610612741,CHI,82,3281,1098,2279,0.482,12,66,0.182,833,972,0.857,166,264,430,377,236,125,272,237,3041,2617,1.39,0.87,1986
76673,2,Alex English,1610612743,DEN,82,3085,965,1920,0.503,4,15,0.267,411,487,0.844,146,198,344,422,73,21,214,216,2345,1960,1.97,0.34,1986
1122,3,Dominique Wilkins,1610612737,ATL,79,2969,828,1787,0.463,31,106,0.292,607,742,0.818,210,284,494,261,117,51,215,149,2294,1908,1.21,0.54,1986
78404,4,Kiki Vandeweghe,1610612757,POR,79,3029,808,1545,0.523,39,81,0.481,467,527,0.886,86,165,251,220,52,17,139,137,2122,1726,1.58,0.37,1986
1449,5,Larry Bird,1610612738,BOS,74,3005,786,1497,0.525,90,225,0.4,414,455,0.91,124,558,682,566,135,70,240,185,2076,2537,2.36,0.56,1986
76016,6,Mark Aguirre,1610612742,DAL,80,2663,787,1590,0.495,53,150,0.353,429,557,0.77,181,246,427,254,84,30,217,243,2056,1703,1.17,0.39,1986
107,7,Dale Ellis,1610612760,SEA,82,3073,785,1520,0.516,86,240,0.358,385,489,0.787,187,260,447,238,104,32,238,267,2041,1785,1.0,0.44,1986
1450,8,Kevin McHale,1610612738,BOS,77,3060,790,1307,0.604,0,4,0.0,428,512,0.836,247,516,763,198,38,172,197,240,2008,2381,1.0,0.19,1986
77142,9,Magic Johnson,1610612747,LAL,80,2904,683,1308,0.522,8,39,0.205,535,631,0.848,122,382,504,977,138,36,300,168,1909,2543,3.26,0.46,1986
1472,9,Tom Chambers,1610612760,SEA,82,3018,660,1446,0.456,54,145,0.372,535,630,0.849,163,382,545,245,81,50,268,307,1909,1681,0.91,0.3,1986
1365,11,Xavier McDaniel,1610612760,SEA,82,3031,806,1583,0.509,3,14,0.214,275,395,0.696,338,367,705,207,115,52,234,300,1890,1838,0.89,0.49,1986
166,12,Ron Harper,1610612739,CLE,82,3064,734,1614,0.455,20,94,0.213,386,564,0.684,169,223,392,394,209,84,345,247,1874,1550,1.14,0.61,1986
1453,13,Walter Davis,1610612756,PHX,79,2646,779,1515,0.514,21,81,0.259,288,334,0.862,90,154,244,364,96,5,226,184,1867,1568,1.61,0.42,1986
17,14,Clyde Drexler,1610612757,POR,82,3114,707,1408,0.502,11,47,0.234,357,470,0.76,227,291,518,566,204,71,253,281,1782,2074,2.24,0.81,1986
252,15,Karl Malone,1610612762,UTH,82,2857,728,1422,0.512,0,7,0.0,323,540,0.598,278,577,855,158,104,60,237,323,1779,1808,0.67,0.44,1986
77449,16,Moses Malone,1610612764,WAS,73,2488,595,1311,0.454,0,11,0.0,570,692,0.824,340,484,824,120,59,92,202,139,1760,1815,0.59,0.29,1986
117,17,Jeff Malone,1610612764,WAS,80,2763,689,1509,0.457,4,26,0.154,376,425,0.885,50,168,218,298,75,13,182,154,1758,1311,1.64,0.41,1986
165,18,Hakeem Olajuwon,1610612745,HOU,75,2760,677,1332,0.508,1,5,0.2,400,570,0.702,315,543,858,220,140,254,228,294,1755,2174,0.96,0.61,1986
76504,19,Adrian Dantley,1610612765,DET,81,2736,601,1126,0.534,1,6,0.167,539,664,0.812,104,228,332,162,63,7,181,193,1742,1475,0.9,0.35,1986
76353,20,Joe Barry Carroll,1610612744,GOS,81,2724,690,1461,0.472,0,0,0.0,340,432,0.787,173,416,589,214,92,123,226,255,1720,1649,0.95,0.41,1986
187,21,Terry Cummings,1610612749,MIL,82,2770,729,1426,0.511,0,3,0.0,249,376,0.662,214,486,700,229,129,81,172,296,1707,1850,1.33,0.75,1986
76176,22,Rolando Blackman,1610612742,DAL,80,2758,626,1264,0.495,5,15,0.333,419,474,0.884,96,182,278,266,64,21,174,142,1676,1438,1.53,0.37,1986
78318,23,Isiah Thomas,1610612765,DET,81,3013,626,1353,0.463,19,98,0.194,400,521,0.768,82,237,319,813,153,20,343,251,1671,1785,2.37,0.45,1986
78310,24,Reggie Theus,1610612758,SAC,79,2872,577,1223,0.472,17,78,0.218,429,495,0.867,86,180,266,692,78,16,289,208,1600,1651,2.39,0.27,1986
1460,25,James Worthy,1610612747,LAL,82,2819,651,1207,0.539,0,13,0.0,292,389,0.751,158,308,466,226,108,83,168,206,1594,1656,1.34,0.64,1986
787,26,Charles Barkley,1610612755,PHL,68,2740,557,937,0.594,21,104,0.202,429,564,0.761,390,604,994,331,119,104,322,252,1564,2275,1.03,0.37,1986
77376,27,Lafayette Lever,1610612743,DEN,82,3054,643,1370,0.469,22,92,0.239,244,312,0.782,216,513,729,654,201,34,167,219,1552,2208,3.92,1.2,1986
77685,27,Larry Nance,1610612756,PHX,69,2569,585,1062,0.551,1,5,0.2,381,493,0.773,188,411,599,233,86,148,149,223,1552,1880,1.56,0.58,1986
