PLAYER_ID,RANK,PLAYER,TEAM_ID,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,EFF,AST_TOV,STL_TOV,TS%,fgadd,tstotal
1717,10,Dirk Nowitzki,1610612742,DAL,76,2891,600,1258,0.477,139,350,0.397,440,516,0.853,120,635,755,186,83,77,145,222,1779,2001,1.28,0.57,0.5989737650164305,238.5699371810462,1816.0884555298173
699,53,Brent Barry,1610612760,SEA,81,3038,401,790,0.508,164,387,0.424,198,234,0.846,58,383,441,426,147,37,165,182,1164,1625,2.58,0.89,0.6517649166815983,238.49595454489466,1182.3015588604194
406,6,Shaquille O'Neal,1610612747,LAL,67,2421,712,1229,0.579,0,1,0.0,398,717,0.555,235,480,715,200,41,137,171,199,1822,1908,1.17,0.24,0.5898425359991712,220.83009937080266,1872.7500517973688
397,40,Reggie Miller,1610612754,IND,79,2889,414,913,0.453,180,443,0.406,296,325,0.911,23,196,219,253,88,10,120,143,1304,1226,2.11,0.73,0.6174242424242424,208.9362957948467,1328.0795454545455
1495,2,Tim Duncan,1610612759,SAS,82,3329,764,1504,0.508,1,10,0.1,560,701,0.799,268,774,1042,307,61,203,263,217,2089,2558,1.17,0.23,0.5762949394186841,207.7232520203929,2137.4779303038995
959,29,Steve Nash,1610612742,DAL,82,2838,525,1088,0.483,156,343,0.455,260,293,0.887,50,204,254,634,53,4,229,164,1466,1586,2.77,0.23,0.6023403346152582,202.58289638831914,1487.1782861650724
951,25,Ray Allen,1610612749,MIL,69,2525,530,1148,0.462,229,528,0.434,214,245,0.873,81,231,312,271,88,18,159,157,1503,1384,1.7,0.55,0.5984233158146202,198.53739379490122,1520.5936454849498
1718,1,Paul Pierce,1610612738,BOS,82,3299,707,1598,0.442,210,520,0.404,520,643,0.809,81,485,566,261,154,86,241,237,2144,1956,1.08,0.64,0.5699338621525636,190.58375117673503,2187.9760968036917
978,23,Peja Stojakovic,1610612758,SAC,71,2648,547,1130,0.484,129,310,0.416,283,323,0.876,72,301,373,175,81,14,140,120,1506,1386,1.25,0.58,0.5919252900669749,185.0346031035253,1528.9430242429962
1882,31,Elton Brand,1610612746,LAC,80,3016,532,1010,0.527,0,0,0.0,389,524,0.742,396,529,925,191,80,163,173,254,1453,2026,1.1,0.46,0.5856226220416586,166.20682953754357,1489.8239504739795
1887,21,Wally Szczerbiak,1610612750,MIN,82,3121,609,1200,0.508,87,191,0.455,226,272,0.831,120,271,391,257,66,21,181,188,1531,1448,1.42,0.36,0.5800648642095053,159.7191083855039,1549.9333171677981
304,58,John Stockton,1610612762,UTA,82,2570,401,775,0.517,25,78,0.321,275,321,0.857,59,204,263,674,152,24,208,209,1102,1587,3.24,0.73,0.6013708198725225,151.7026839846061,1125.1648039814895
468,122,Jon Barry,1610612765,DET,82,1985,255,522,0.489,121,258,0.469,108,116,0.931,42,192,234,274,94,20,111,134,739,975,2.47,0.85,0.6448066452603658,144.43959989893247,747.9757085020243
445,50,Wesley Person,1610612739,CLE,78,2793,467,944,0.495,143,322,0.444,99,124,0.798,50,244,294,173,77,37,74,93,1176,1181,2.34,1.04,0.5888479410350905,137.93908278551524,1184.762057362602
2048,130,Jamaal Magloire,1610612766,CHH,82,1549,228,414,0.551,0,1,0.0,243,333,0.73,153,308,461,31,27,86,118,201,699,910,0.26,0.23,0.6235281524298866,119.8597866192107,723.9161849710983
2200,32,Pau Gasol,1610612763,MEM,82,3007,551,1064,0.518,1,5,0.2,338,477,0.709,238,492,730,223,41,169,224,195,1441,1728,1.0,0.18,0.5655948754984771,118.019855060555,1473.3746506735329
120,88,Steven Smith,1610612759,SAS,77,2212,310,682,0.455,116,246,0.472,159,181,0.878,45,148,193,151,54,15,108,158,895,806,1.4,0.5,0.5875479229032089,103.91387899599489,907.7615408854577
57,71,Doug Christie,1610612758,SAC,81,2796,338,735,0.46,90,256,0.352,206,242,0.851,74,300,374,340,160,25,164,209,972,1274,2.07,0.98,0.5775538337215382,98.03611339291722,988.7721633312734
1802,66,Brad Miller,1610612754,IND,76,2264,366,733,0.499,3,7,0.429,297,383,0.775,252,369,621,152,76,41,115,244,1032,1354,1.32,0.66,0.572366669624634,96.2902266125717,1058.3059721359482
1740,46,Rashard Lewis,1610612760,SEA,71,2584,455,972,0.468,123,316,0.389,162,200,0.81,139,359,498,123,104,40,97,174,1195,1308,1.27,1.07,0.5636792452830188,93.02708046866398,1208.5283018867924
722,64,Corliss Williamson,1610612765,DET,78,1707,411,806,0.51,1,5,0.2,240,298,0.805,117,202,319,94,49,26,137,226,1063,961,0.69,0.36,0.567163223493256,89.52833667220045,1083.2817568721189
977,3,Kobe Bryant,1610612747,LAL,80,3065,749,1597,0.469,33,132,0.25,488,589,0.829,112,329,441,438,118,35,223,228,2019,1879,1.96,0.53,0.5438647530385311,89.18424105036965,2057.440360744763
87,84,Dikembe Mutombo,1610612755,PHI,80,2906,321,641,0.501,0,0,0.0,278,364,0.764,254,609,863,83,29,190,156,242,920,1523,0.53,0.19,0.5741674571870787,88.68270801209609,945.0796345299316
15,145,Eric Piatkowski,1610612746,LAC,71,1717,207,471,0.439,111,238,0.466,101,113,0.894,43,141,184,112,41,12,64,110,626,635,1.75,0.64,0.6010907973575049,85.24510623263157,634.1507912121677
2072,115,Michael Redd,1610612749,MIL,67,1417,294,609,0.483,88,198,0.444,91,115,0.791,77,147,224,91,42,7,57,96,767,735,1.6,0.74,0.5814129775621588,81.47726394559784,775.0234990903577
297,49,Alonzo Mourning,1610612748,MIA,75,2453,447,866,0.516,1,3,0.333,283,431,0.657,182,450,632,87,27,186,182,258,1178,1361,0.48,0.15,0.5579553635709142,81.47072475863952,1206.8574514038876
1891,24,Jason Terry,1610612737,ATL,78,2968,524,1219,0.43,172,444,0.387,284,340,0.835,40,230,270,444,144,13,181,156,1504,1443,2.45,0.8,0.5494666082127723,81.05331546043553,1526.4182376150814
1088,77,Chucky Atkins,1610612765,DET,79,2285,368,790,0.466,138,336,0.411,83,120,0.692,31,127,158,263,72,11,128,177,957,874,2.06,0.56,0.567750355956336,80.68303217296426,965.1756051257713
922,63,Elden Campbell,1610612766,CHH,77,2158,384,794,0.484,0,2,0.0,306,384,0.797,133,397,530,102,60,137,138,264,1074,1277,0.74,0.43,0.5576555620171139,73.68538367249239,1099.6967682977486
764,79,David Robinson,1610612759,SAS,78,2305,341,672,0.507,0,0,0.0,269,395,0.681,191,456,647,94,86,140,104,193,951,1357,0.9,0.83,0.5621896429415938,72.8639159195896,977.6477890754317
