PLAYER_ID,RANK,PLAYER,TEAM_ID,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,EFF,AST_TOV,STL_TOV,TS%,fgadd,tstotal
600014,28,Artis Gilmore,1610612741,CHI,82,2832,547,816,0.67,0,0,0.0,375,532,0.705,220,608,828,172,47,198,236,295,1469,2052,0.73,0.2,0.6994705165320738,353.3445143496229,1513.6541977754077
76504,1,Adrian Dantley,1610612762,UTH,80,3417,909,1627,0.559,2,7,0.286,632,784,0.806,192,317,509,322,109,18,282,245,2452,2258,1.14,0.39,0.6217164648370149,345.3660842386134,2510.4910850118663
76003,4,Kareem Abdul-Jabbar,1610612747,LAL,80,2976,836,1457,0.574,0,1,0.0,423,552,0.766,197,624,821,272,59,228,249,244,2095,2476,1.09,0.24,0.6162199684683625,277.3926423408405,2135.8184107113443
77264,10,Bernard King,1610612744,GOS,81,2914,731,1244,0.588,2,6,0.333,307,437,0.703,178,373,551,287,72,34,265,304,1771,1807,1.08,0.27,0.6165232405937561,234.9821312226789,1803.3304787367365
77487,49,Cedric Maxwell,1610612738,BOS,81,2730,441,750,0.588,0,1,0.0,352,450,0.782,222,303,525,219,79,68,180,256,1234,1538,1.22,0.44,0.6508438818565401,223.5800046108814,1269.1455696202531
76362,16,Bill Cartwright,1610612752,NYK,82,2925,619,1118,0.554,0,1,0.0,408,518,0.788,161,452,613,111,48,83,200,259,1646,1692,0.56,0.24,0.6114776509747979,207.34916050981914,1684.0094507845934
77449,2,Moses Malone,1610612745,HOU,80,3245,806,1545,0.522,1,3,0.333,609,804,0.757,474,706,1180,141,83,150,308,223,2222,2534,0.46,0.27,0.5851187090522235,190.53824784602836,2278.452253049358
76539,76,Darryl Dawkins,1610612755,PHL,76,2088,423,697,0.607,0,0,0.0,219,304,0.72,106,439,545,109,38,112,220,316,1065,1290,0.49,0.17,0.6409793442149357,177.93660371495412,1088.3829264769608
77290,31,Billy Knight,1610612754,IND,82,2385,546,1025,0.533,3,19,0.158,341,410,0.832,191,219,410,157,84,12,177,155,1436,1374,0.89,0.47,0.5956528953044632,146.28494812946434,1465.3061224489795
77626,63,Sidney Moncrief,1610612749,MIL,80,2417,400,739,0.541,2,9,0.222,320,398,0.804,186,220,406,264,90,37,145,156,1122,1357,1.82,0.62,0.6137049840283552,145.4228577512551,1151.3105500371944
76170,12,Otis Birdsong,1610612758,KCK,71,2593,710,1306,0.544,10,35,0.286,317,455,0.697,119,139,258,233,93,18,173,172,1747,1442,1.35,0.54,0.5799362634444297,134.17755183855667,1778.664519984066
77689,44,Swen Nater,1610612746,SDC,82,2809,517,935,0.553,0,0,0.0,244,307,0.795,295,722,1017,199,49,46,211,295,1278,1897,0.94,0.23,0.5971516148325359,132.71894496458327,1299.9990654904307
